person_id,panel_id,role,panel_order
monica-gorman,P1,panelist,1
laura-taylor-kale,P1,panelist,2
telesilla-kotsi,P5,moderator,1
eric-karolak,P5,panelist,2
prianka-nandy,P5,panelist,3
molly-mcglinchy,P5,panelist,4
david-adler,P9,moderator,1
franz-wuerfmannsdobler,P9,panelist,2
bill-bonvillian,P9,panelist,3
andrew-reamer,P10,moderator,1
rebecca-hutchinson,P10,panelist,2
jason-gallo,P10,panelist,3
david-hart,P2,moderator,1
long-lam,P2,panelist,2
levi-patterson,P2,panelist,3
elizabeth-wilson,P2,panelist,4
andrew-reamer,P11,moderator,1
jonathan-weinhagen,P11,panelist,2
marcelo-yoon,P11,panelist,3
susan-helper,P8,moderator,1
john-gray,P8,panelist,2
anna-waldman-brown,P8,panelist,3
james-coburn,P8,panelist,4
mathew-blum,P8,panelist,5
lizzi-lee,P13,moderator,1
douglas-fuller,P13,panelist,2
paul-triolo,P13,panelist,3
monica-gorman,P3,moderator,1
elisabeth-reynolds,P3,panelist,2
heidi-crib-rediker,P3,panelist,3
sree-ramaswamy,P3,panelist,4
tracey-koehlmoos,P6,moderator,1
john-gray,P6,panelist,2
mariana-socal,P6,panelist,3
marta-wosinska,P6,panelist,4
gabriella-mannino,P6,panelist,5
melissa-appleyard,P7,moderator,1
kristi-yuthas,P7,panelist,2
nitin-joglekar,P7,panelist,3
mimi-bulfin,P7,panelist,4
edward-anderson,P7,panelist,5
jennifer-woolley,P7,panelist,6
geoff-parker,P7,panelist,7
