excursion_id,time_range,activity,org_panel_title,speaker_name,speaker_role
EX1,8:00-8:30,Coffee,,,
EX1,8:30-8:35,Welcome and introduction,,,
EX1,8:35-9:00,CSIS,,Philip Luck,"Director, Economics Program and Scholl Chair in International Business"
EX1,9:00-9:25,SCSP,SCSP Tech Scorecard: A Framework for Comparative Analysis,Nyah Stewart,"Director, Technology Leadership"
EX1,9:00-9:25,SCSP,SCSP Tech Scorecard: A Framework for Comparative Analysis,Caroline Armstrong,"Consultant, Technology Leadership"
EX1,9:25-9:50,McKinsey Global Institute,McKinsey Global Institute: Geoeconomics forces for business leaders,Rebecca J. Anderson,"Senior Fellow, McKinsey Global Institute"
EX1,9:50-10:10,Coffee break,,,
EX1,10:10-10:35,MITRE,MITRE's Role in the National R&D Ecosystem: Connections to the Industry Studies Community,Roz Engel,"Chief Economist, MITRE Public Sector"
EX1,10:10-10:35,MITRE,MITRE's Role in the National R&D Ecosystem: Connections to the Industry Studies Community,Sanith Wijesinghe,"Chief Engineer, MITRE Public Sector"
EX1,10:10-10:35,MITRE,MITRE's Role in the National R&D Ecosystem: Connections to the Industry Studies Community,Dan Brown,Chief Scientist for Economic Analysis
EX1,10:35-11:00,Niskanen Center,,R.J. Lyman,"President, Niskanen"
EX1,10:35-11:00,Niskanen Center,,Liza Reed,"Director, Climate & Energy"
EX1,10:35-11:00,Niskanen Center,,Alex Mechanick,"Senior Policy Analyst, State Capacity"
EX1,11:00-11:25,CSPO,A Quadruple Helix? Adding Society to the University-Industry-Government Mix,Arthur Daemmrich,"Director, ASU Consortium for Science, Policy & Outcomes"
EX1,11:00-11:25,CSPO,A Quadruple Helix? Adding Society to the University-Industry-Government Mix,Mahmud Farooque,"Associate Director, ASU Consortium for Science, Policy & Outcomes"
EX1,11:25-11:30,Wrap up,,,
EX1,11:30-11:50,Coffee and mingle,,,
