excursion_id,org_name,org_panel_title,speaker_name,speaker_role
EX2,SCSP,,Nyah Stewart,"Director, Technology Leadership"
EX2,SCSP,,Caroline Armstrong,"Consultant, Technology Leadership"
EX2,Niskanen Center,,R.J. Lyman,"President, Niskanen"
EX2,Niskanen Center,,Liza Reed,"Director, Climate & Energy"
EX2,Niskanen Center,,Alex Mechanick,"Senior Policy Analyst, State Capacity"
EX2,McKinsey Global Institute,,Rebecca J. Anderson,"Senior Fellow, McKinsey Global Institute"
EX2,MITRE,"MITRE's Role in the National R&D Ecosystem: Connections to the Industry Studies Community",Roz Engel,"Chief Economist, MITRE Public Sector"
EX2,MITRE,"MITRE's Role in the National R&D Ecosystem: Connections to the Industry Studies Community",Sanith Wijesinghe,"Chief Engineer, MITRE Public Sector"
EX2,CSPO,"American Science & Technology @250: Renewing the Social Compact",Arthur Daemmrich,"Director, ASU Consortium for Science, Policy & Outcomes"
EX2,CSPO,"American Science & Technology @250: Renewing the Social Compact",Mahmud Farooque,"Associate Director, ASU Consortium for Science, Policy & Outcomes"
EX2,CSIS,,Philip Luck,"Director, Economics Program and Scholl Chair in International Business"
