session_id,session_status,session_name,paper_title,original_slot,new_slot,category,paper_id,contact_author
4,DISSOLVED,Private Equity and Capital Markets,Children Before Profits: Constraining Private Equity Profiteering to Advance Child Care as a Public Good,T3 Thu,(dissolved),General Industry Studies,25,Audrey Stienon
4,DISSOLVED,Private Equity and Capital Markets,Strategic Focus: Evidence from Private Equity Transactions in US Power Generation Sector,T3 Thu,(dissolved),General Industry Studies,74,Haiyang Zhang
4,DISSOLVED,Private Equity and Capital Markets,(title not found),T3 Thu,(dissolved),General Industry Studies,69,
5,DISSOLVED,Industrial Policy and Market Governance,(title not found),W2 Wed,(dissolved),General Industry Studies,17,
5,DISSOLVED,Industrial Policy and Market Governance,Coordinating Market Actors for the Public Good: Competition Policy as the Industrial Policy of Democratic Economic Governance,W2 Wed,(dissolved),General Industry Studies,24,Audrey Stienon
5,DISSOLVED,Industrial Policy and Market Governance,(title not found),W2 Wed,(dissolved),General Industry Studies,87,
8,DISSOLVED,Drug Pricing and Market Competition,"Market Size, Biosimilar Entry, and Price Competition in U.S. Biologic Drug Markets",W1 Wed,(dissolved),"Health Care Systems, Biotechnology & Pharmaceuticals",38,Morgane Mouslim
8,DISSOLVED,Drug Pricing and Market Competition,Potential Impact of Tariffs on the Price of Generic Drugs Made in the US with Imported Active Ingredients,W1 Wed,(dissolved),"Health Care Systems, Biotechnology & Pharmaceuticals",46,Mariana Socal
8,DISSOLVED,Drug Pricing and Market Competition,(title not found),W1 Wed,(dissolved),"Health Care Systems, Biotechnology & Pharmaceuticals",58,
8,DISSOLVED,Drug Pricing and Market Competition,Strategic Reserves: Shelved Innovation as a Real Option,W1 Wed,(dissolved),"Health Care Systems, Biotechnology & Pharmaceuticals",169,Elisabeth Hofmeister
24,DISSOLVED,"AI, Technology, and the Changing Nature of Work",(title not found),W1 Wed,(dissolved),"Labor Markets, Organizations & the Future of Work",129,
24,DISSOLVED,"AI, Technology, and the Changing Nature of Work",Driving the Skill Shift: The Impact of Generative AI Adoption on Skill Demand in the Labor Market,W1 Wed,(dissolved),"Labor Markets, Organizations & the Future of Work",144,Sojung Yoon
24,DISSOLVED,"AI, Technology, and the Changing Nature of Work",Designing industrial policy to create good jobs in an age of AI: Suggestions from history,W1 Wed,(dissolved),"Labor Markets, Organizations & the Future of Work",147,Susan Helper
27,DISSOLVED,Organizational Structure and Human Capital,"Redeployment or Hiring? R&D Characteristics, Organizational Capabilities, and Strategic Human Capital Sourcing in Multi-Business Firms",W2 Wed,(dissolved),"Labor Markets, Organizations & the Future of Work",100,Kyungsoo Kim
27,DISSOLVED,Organizational Structure and Human Capital,(title not found),W2 Wed,(dissolved),"Labor Markets, Organizations & the Future of Work",160,
27,DISSOLVED,Organizational Structure and Human Capital,(title not found),W2 Wed,(dissolved),"Labor Markets, Organizations & the Future of Work",187,
28,DISSOLVED,Labor Policy and Institutions,The Institutional Economics of Artificial Intelligence (AI) in Higher Education: A Transaction Cost Analysis of University Transformation,W1 Wed,(dissolved),"Labor Markets, Organizations & the Future of Work",116,Pelin Bicen
28,DISSOLVED,Labor Policy and Institutions,(title not found),W1 Wed,(dissolved),"Labor Markets, Organizations & the Future of Work",167,
28,DISSOLVED,Labor Policy and Institutions,"Forecasting the Winners and Losers of H-1B Reforms Across Industries and Workers: Will firms, universities, and health care lose workers or profits?",W1 Wed,(dissolved),"Labor Markets, Organizations & the Future of Work",211,Ron Hira
34,DISSOLVED,Digital Technology in Manufacturing,Cascading Failures: An Analysis of a Major IT Outage,W3 Wed,(dissolved),"Operations, Supply Chain & AI-Enhanced Industry 4.0",28,Tianyu Xu
34,DISSOLVED,Digital Technology in Manufacturing,(title not found),W3 Wed,(dissolved),"Operations, Supply Chain & AI-Enhanced Industry 4.0",34,
34,DISSOLVED,Digital Technology in Manufacturing,Learning curve effects in outsourcing: Evidence from the medtech industry,W3 Wed,(dissolved),"Operations, Supply Chain & AI-Enhanced Industry 4.0",183,Oliver Von Dzengelevski
38,DISSOLVED,Global Value Chains and Trade Policy,(title not found),W3 Wed,(dissolved),Public Policy & Global Competitiveness,82,
38,DISSOLVED,Global Value Chains and Trade Policy,The Case for Subnational Diplomacy in Friend-shoring Supply Chains,W3 Wed,(dissolved),Public Policy & Global Competitiveness,145,Akhil Ramesh
38,DISSOLVED,Global Value Chains and Trade Policy,State-Led Path Creation in Emerging Industries: A Comparative Study of China’s Electric Vehicle Hubs in Shenzhen and Hefei,W3 Wed,(dissolved),Public Policy & Global Competitiveness,161,Jun Sun
45,DISSOLVED,Energy Infrastructure and Communities,(title not found),W3 Wed,(dissolved),"Sustainable Innovation, Energy & Mobility",47,
45,DISSOLVED,Energy Infrastructure and Communities,Energy Justice and the Infrastructure of Demand: Community Preferences for Equitable Solar Farm and AI Data Center Development,W3 Wed,(dissolved),"Sustainable Innovation, Energy & Mobility",142,Brissa Acevedo
