Weekday,Time Start,Time End,Duration,Session,Building,Room,excursion_id,excursion_option,meeting_point,description
Wednesday,8:00 AM,11:50 AM,3:50,Morning Excursion Option 1: Showcase of DC-based Public Policy Think Tanks and Research Centers,Science & Engineering Hall,B1 1270,EX1,1,"Science & Engineering Hall, B1 1270",
Wednesday,9:30 AM,11:30 AM,2:00,Morning Excursion Option 2: Walking Tour of the DC Mall,Lockkeeper's House,17th & Constitution Ave NW,EX2,2,"Lockkeeper's House, 17th & Constitution Ave NW","Join us for a walking tour of the National Mall, visiting many of the major monuments. The tour ends at the Lincoln Memorial. Participants can then walk to the Milken Institute for lunch and registration."
Wednesday,12:00 PM,1:00 PM,1:00,Lunch,Milken Institute,"Convening
Hall",,,,
Wednesday,1:00 PM,1:55 PM,0:55,Opening Plenary,Milken Institute,"Convening
Hall",,,,
Wednesday,2:00 PM,4:40 PM,2:40,PDW,Milken Institute,"Convening
Hall",,,,
Wednesday,2:00 PM,3:10 PM,1:10,Paper Sessions,Science & Engineering Hall,Classrooms,,,,
Wednesday,3:10 PM,3:30 PM,0:20,Break,Science & Engineering Hall,B1 Greenwall ,,,,
Wednesday,3:30 PM,4:40 PM,1:10,Paper Sessions,Science & Engineering Hall,Classrooms,,,,
Wednesday,4:45 PM,5:55 PM,1:10,Paper Sessions,Science & Engineering Hall,Classrooms,,,,
Wednesday,6:00 PM,7:00 PM,1:00,Reception,Science & Engineering Hall,B1 Greenwall ,,,,
Thursday,8:20 AM,9:00 AM,0:40,Breakfast,Student Center,Grand Ballroom,,,,
Thursday,9:00 AM,10:10 AM,1:10,Paper Sessions,Student Center,Classrooms,,,,
Thursday,10:10 AM,10:40 AM,0:30,Break,Student Center,Hallway in front of Grand Ballroom,,,,
Thursday,10:40 AM,11:40 AM,1:00,Concurrent Panel Sessions,Student Center,Classrooms,,,,
Thursday,11:40 AM,12:45 PM,1:05,Lunch & Business Meeting,Student Center,Grand Ballroom,,,,
Thursday,12:50 PM,2:00 PM,1:10,Paper Sessions,Student Center,Classrooms,,,,
Thursday,2:05 PM,3:05 PM,1:00,Concurrent Panel Sessions,Student Center,Classrooms,,,,
Thursday,3:05 PM,3:35 PM,0:30,Break,Student Center,Hallway in front of Grand Ballroom,,,,
Thursday,3:40 PM,4:50 PM,1:10,Paper Sessions,Student Center,Classrooms,,,,
Thursday,4:55 PM,6:00 PM,1:05,Concurrent Panel Sessions,Student Center,Classrooms,,,,
Thursday,6:00 PM,8:00 PM,2:00,Reception,Student Center,Grand Ballroom,,,,
Friday,8:20 AM,9:00 AM,0:40,Breakfast,Student Center,Grand Ballroom,,,,
Friday,9:00 AM,10:00 AM,1:00,Concurrent Panel Sessions,Student Center,Classrooms,,,,
Friday,10:00 AM,10:30 AM,0:30,Break,Student Center,Hallway in front of Grand Ballroom,,,,
Friday,10:30 AM,11:40 AM,1:10,Paper Sessions,Student Center,Classrooms,,,,
Friday,11:40 AM,12:40 PM,1:00,Lunch & Awards Ceremony,Student Center,Grand Ballroom,,,,
