id,session_id,session_name,time_slot,room,date,day,start_time,end_time,time_order
28,34,Digital Technology in Manufacturing,W1,SEH-1300,2026-06-03,Wednesday,14:00:00,15:10:00,1
34,34,Digital Technology in Manufacturing,W1,SEH-1300,2026-06-03,Wednesday,14:00:00,15:10:00,1
183,34,Digital Technology in Manufacturing,W1,SEH-1300,2026-06-03,Wednesday,14:00:00,15:10:00,1
198,34,Digital Technology in Manufacturing,W1,SEH-1300,2026-06-03,Wednesday,14:00:00,15:10:00,1
86,24,"AI, Technology, and the Changing Nature of Work",W1,SEH-1400,2026-06-03,Wednesday,14:00:00,15:10:00,1
129,24,"AI, Technology, and the Changing Nature of Work",W1,SEH-1400,2026-06-03,Wednesday,14:00:00,15:10:00,1
144,24,"AI, Technology, and the Changing Nature of Work",W1,SEH-1400,2026-06-03,Wednesday,14:00:00,15:10:00,1
147,24,"AI, Technology, and the Changing Nature of Work",W1,SEH-1400,2026-06-03,Wednesday,14:00:00,15:10:00,1
80,21,Venture Financing and Technology Dynamics,W1,SEH-1450,2026-06-03,Wednesday,14:00:00,15:10:00,1
92,21,Venture Financing and Technology Dynamics,W1,SEH-1450,2026-06-03,Wednesday,14:00:00,15:10:00,1
210,21,Venture Financing and Technology Dynamics,W1,SEH-1450,2026-06-03,Wednesday,14:00:00,15:10:00,1
23,27,Organizational Structure and Human Capital,W1,SEH-3040,2026-06-03,Wednesday,14:00:00,15:10:00,1
160,27,Organizational Structure and Human Capital,W1,SEH-3040,2026-06-03,Wednesday,14:00:00,15:10:00,1
187,27,Organizational Structure and Human Capital,W1,SEH-3040,2026-06-03,Wednesday,14:00:00,15:10:00,1
19,42,Technology Competitiveness and National Security,W1,SEH-B1220,2026-06-03,Wednesday,14:00:00,15:10:00,1
41,42,Technology Competitiveness and National Security,W1,SEH-B1220,2026-06-03,Wednesday,14:00:00,15:10:00,1
113,42,Technology Competitiveness and National Security,W1,SEH-B1220,2026-06-03,Wednesday,14:00:00,15:10:00,1
51,33,Healthcare and People-Centric Operations,W1,SEH-B1270,2026-06-03,Wednesday,14:00:00,15:10:00,1
75,33,Healthcare and People-Centric Operations,W1,SEH-B1270,2026-06-03,Wednesday,14:00:00,15:10:00,1
162,33,Healthcare and People-Centric Operations,W1,SEH-B1270,2026-06-03,Wednesday,14:00:00,15:10:00,1
2001,33,Healthcare and People-Centric Operations,W1,SEH-B1270,2026-06-03,Wednesday,14:00:00,15:10:00,1
17,5,Industrial Policy and Market Governance,W2,SEH-1300,2026-06-03,Wednesday,15:30:00,16:40:00,2
24,5,Industrial Policy and Market Governance,W2,SEH-1300,2026-06-03,Wednesday,15:30:00,16:40:00,2
87,5,Industrial Policy and Market Governance,W2,SEH-1300,2026-06-03,Wednesday,15:30:00,16:40:00,2
179,22,Technology Legitimacy and Emerging Markets,W2,SEH-1400,2026-06-03,Wednesday,15:30:00,16:40:00,2
186,22,Technology Legitimacy and Emerging Markets,W2,SEH-1400,2026-06-03,Wednesday,15:30:00,16:40:00,2
2000,22,Technology Legitimacy and Emerging Markets,W2,SEH-1400,2026-06-03,Wednesday,15:30:00,16:40:00,2
78,39,Humanitarian and Development Policy,W2,SEH-1450,2026-06-03,Wednesday,15:30:00,16:40:00,2
171,39,Humanitarian and Development Policy,W2,SEH-1450,2026-06-03,Wednesday,15:30:00,16:40:00,2
177,39,Humanitarian and Development Policy,W2,SEH-1450,2026-06-03,Wednesday,15:30:00,16:40:00,2
180,39,Humanitarian and Development Policy,W2,SEH-1450,2026-06-03,Wednesday,15:30:00,16:40:00,2
35,8,Drug Pricing and Market Competition,W2,SEH-3040,2026-06-03,Wednesday,15:30:00,16:40:00,2
