room,time_slot,date,day,start_time,end_time
SEH-1300,W1,2026-06-03,Wednesday,14:00:00,15:10:00
SEH-1400,W1,2026-06-03,Wednesday,14:00:00,15:10:00
SEH-1450,W1,2026-06-03,Wednesday,14:00:00,15:10:00
SEH-B1220,W1,2026-06-03,Wednesday,14:00:00,15:10:00
SEH-B1270,W1,2026-06-03,Wednesday,14:00:00,15:10:00
SEH-1300,W2,2026-06-03,Wednesday,15:30:00,16:40:00
SEH-1400,W2,2026-06-03,Wednesday,15:30:00,16:40:00
SEH-1450,W2,2026-06-03,Wednesday,15:30:00,16:40:00
SEH-B1220,W2,2026-06-03,Wednesday,15:30:00,16:40:00
SEH-B1270,W2,2026-06-03,Wednesday,15:30:00,16:40:00
SEH-1300,W3,2026-06-03,Wednesday,16:45:00,17:55:00
SEH-1400,W3,2026-06-03,Wednesday,16:45:00,17:55:00
SEH-1450,W3,2026-06-03,Wednesday,16:45:00,17:55:00
SEH-3040,W3,2026-06-03,Wednesday,16:45:00,17:55:00
SEH-B1220,W3,2026-06-03,Wednesday,16:45:00,17:55:00
SEH-B1270,W3,2026-06-03,Wednesday,16:45:00,17:55:00
SC-301,T1,2026-06-04,Thursday,09:00:00,10:10:00
SC-302,T1,2026-06-04,Thursday,09:00:00,10:10:00
SC-307,T1,2026-06-04,Thursday,09:00:00,10:10:00
SC-308,T1,2026-06-04,Thursday,09:00:00,10:10:00
SC-309,T1,2026-06-04,Thursday,09:00:00,10:10:00
SC-Amp.,T1,2026-06-04,Thursday,09:00:00,10:10:00
SC-301,T2,2026-06-04,Thursday,12:50:00,14:00:00
SC-302,T2,2026-06-04,Thursday,12:50:00,14:00:00
SC-307,T2,2026-06-04,Thursday,12:50:00,14:00:00
SC-308,T2,2026-06-04,Thursday,12:50:00,14:00:00
SC-309,T2,2026-06-04,Thursday,12:50:00,14:00:00
SC-Amp.,T2,2026-06-04,Thursday,12:50:00,14:00:00
SC-301,T3,2026-06-04,Thursday,15:40:00,16:50:00
SC-302,T3,2026-06-04,Thursday,15:40:00,16:50:00
SC-307,T3,2026-06-04,Thursday,15:40:00,16:50:00
SC-308,T3,2026-06-04,Thursday,15:40:00,16:50:00
SC-309,T3,2026-06-04,Thursday,15:40:00,16:50:00
SC-Amp.,T3,2026-06-04,Thursday,15:40:00,16:50:00
SC-301,F1,2026-06-05,Friday,10:30:00,11:40:00
SC-302,F1,2026-06-05,Friday,10:30:00,11:40:00
SC-307,F1,2026-06-05,Friday,10:30:00,11:40:00
SC-308,F1,2026-06-05,Friday,10:30:00,11:40:00
SC-Amp.,F1,2026-06-05,Friday,10:30:00,11:40:00
