id,session_id,session_name,title,authors,abstract
30,7,Biomedical Innovation & Organizational Ecosystems,Misleading Science Maps: Firms’ Strategic Responses to Data Malpractice in Alzheimer’s Research,Matteo Tranchero (The Wharton School); Christian Fons-Rosen (UC Merced); Lee Fleming (UC Berkeley),"Why do firms invest in basic science when they could rely on published academic research? We argue that one overlooked reason is the uncertain reliability of science itself. When basic science is required for product development, corporate control of the research process serves as a substitute for the low verifiability of findings produced externally. Firms retain in-house research capabilities to assess, produce, and validate the studies needed for their innovations, particularly in domains where science is less dependable. We investigate this argument in the context of Alzheimer’s preclinical research, where inappropriate image alterations provide an objective marker of unreliable data. Using a novel AI-based detection tool validated through manual review, we scan the entire field and document a rising trend of data issues in published science. Problematic cases are less frequent when firms lead academic-industry collaborations and are nearly absent in fully corporate-authored research. In domains where academic science is less reliable, firms are more likely to conduct basic research internally and to build their inventions on these in-house studies. Our results identify scientific reliability as a neglected determinant of the “research boundaries” of the firm."
71,7,Biomedical Innovation & Organizational Ecosystems,‘Save the Life of My Child’: De-Risking Innovation and the Case of CAR T-Cell Therapy,Kevin Chandra (Boston University),"Under what conditions do organizations and firms invest in a high-risk innovation, and how do changes in the non-market environment related to the innovation influence their investment decisions? A major consideration for organizations has been not only about technical feasibility and cost-benefit assessment, but also societal perception with regard to its potential benefits and risks. When an innovation is unproven, organizations, contingent on their resource availability, may either scale back their engagement or push through its development in spite of its risks. At present, however, the literature is split on organizational decisions on high-risk innovation, with some studies showing that firms push ahead when doing so maximizes their potential returns, whereas others demonstrate their tendency to ‘play safe’ due to high-risk perception. I seek to address this puzzle by focusing on CAR T-cell therapy, and specifically examining the case of Emily Whitehead, the world’s first child patient subjected to the then-experimental treatment in 2012 to treat leukemia. Using a difference-in-difference (DID) analysis by comparing CAR T-cell to other cell therapies not subject to ‘Emily shock’ throughout the 2000-2024 period, I found that after Emily’s successful treatment, there is a sharp and significant increase in the number of USPTO patent filings and clinical trials on CAR T-cell therapy relative to other cell therapy controls. Interestingly, for this cell therapy, I also observe a large increase in the amount of inter-firm collaboration and number of clinical trials on child patients with firms as lead sponsors. At the firm level, I also identify, on average, a gradual reallocation of resources from other types of cell therapy to CAR T-cell, highlighting a growing acceptance of this therapy, as well as the risk appetite among firms, to enter the technology. Nevertheless, additional heterogeneity analyses demonstrate that the effects are primarily driven by biotechnology firms, whereas the reallocation is more limited among major pharmaceutical companies."
188,7,Biomedical Innovation & Organizational Ecosystems,Bridging the Gap Between Academia and Industry: Adaptive Selection of Scientific Directors for Human Capital,Junseok Goh (University of Wisconsin - Madison),"The difference of institutional specificity between academia and commercial firms impacts firms’ hiring strategy on scientists as directors. Knowledge at research institutions has to overcome the institutional specificity to be utilized at the commercial setting, and the variability of the deployed human capital hinges on specific applications in the firm. As the effectiveness of the academic knowledge being organized and deployed at the organizational level is rather understudied, this research investigates how academic human capital could be applied from academic-oriented research to commercial-oriented research on knowledge production contingent on variations of characteristics of firms and academic scientists. This research investigates how biopharma firms strategically appoint scientific directors based on a variety of firm contingencies, such as firm performance and R&D investments. Scientific directors with doctoral degrees are independent board directors serving an advising role to review and develop strategic pathways for high-technology firms and to plan research projects for the company. These directors represent a unique leadership role that bridges academic expertise and commercial application, addressing the challenges of integrating institutional demands with active research. In science-based technology industries, scientific knowledge and other aspects related to knowledge capabilities and human capital are considered more crucial for these firms. Using a unique dataset of scientists (in Biology, Chemistry, Engineering, etc.) serving as scientific directors in biopharma firms from year 2004 to 2023, this study examines how firms select scientific directors with different academic recency and network embeddedness. The findings suggest that high-performing firms are more likely to appoint scientists with recent academic backgrounds, reflecting a preference for fresh perspectives and cutting-edge knowledge to maintain competitive advantage. In contrast, R&D-intensive firms are more likely to appoint more experienced scientists and directors with extensive board interlocking connections, highlighting the importance of network-embedded directors in managing innovation-related uncertainty and capturing value from R&D investments. Overall, the findings suggest that firms prioritize scientists with more academic experience, and who are relatively recent graduates not only to capitalize on their fresh perspectives and cutting-edge knowledge in the field but also to take a cost-effective strategy of appointing academia-embedded scientists who may accept lower compensation in exchange for academic engagement and incentives and motivations in scientific careers. This ongoing research extends the literature in strategic human capital, resource deployment, and hiring strategy by investigating how firms overcome institutional specificity when acquiring human capital from academia to industry."
35,8,Drug Pricing and Market Competition,Drug coupons as a strategic lever: Expanding access or a brand loyalty acquisition tool?,Miguel  Sanchez (Johns Hopkins University); Antonio Trujillo (Johns Hopkins Bloomberg School of Public Health); Manuel  Hermosilla (University of Illinois Chicago); So-Yeon Kang (Georgetown School of Health); Jason Gibbons (Brigham and Women's Hospital/Harvard Medical School),"Manufacturer coupons for prescription drugs are frequently framed as tools to improve affordability, access, and use of medications. However, previous studies have shown that coupon deployments may have more strategic motivations, merely as brand-loyalty or acquisition tools, potentially steering patients toward high-cost medications. Whether coupons are truly reaching those with the greatest financial need remains an empirical question. In this study, we examine whether coupon deployment in the U.S. is concentrated in markets with greater financial vulnerability relative to lower financial vulnerability to understand whether drug companies are optimizing coupon programs around inequities in drug access and affordability. We use the IQVIA Formulary Impact Analyzer for 2017–2024, covering roughly 1.8 billion retail and mail-order claims for about 12 million patients, linked at the ZIP-code level to area income, income inequality index(?), and the validated Social Vulnerability Metric (SVM). Outcomes include panel information on the share of claims using a coupon (coupon penetration) and the post-coupon buydown out-of-pocket spending across ZIPs, payers, and clinical condition.

We first illustrate national patterns in coupon penetration, income, and income inequality using choropleth maps. We then estimate regression models relating changes in coupon penetration over time to changes in income, income inequality, and SVM, adjusting for time-varying payer mix in the zip-code and region fixed effects. We also use group-based trajectory models to characterize dynamic patterns of coupon deployment. To probe causality, we exploit plausibly exogenous changes in local income as an instrument for coupon penetration, including instruments representing (i) large firm openings and closures that generate sharp employment shocks and (ii) region-specific exposure to national industry cycles (Bartik-type labor demand shocks). In complementary analyses, we implement a coverage-switcher design comparing adults moving from Medicaid (where coupons are statutorily prohibited) to employer-sponsored insurance with stably insured counterparts. Difference-in-differences models trace changes in coupon use, brand-name drug initiation, and out-of-pocket spending around the time of coverage transition. We examine heterogeneity by clinical condition—such as HIV and other chronic therapies serving patients who are “close to poor” but commercially insured—to assess whether strategic deployment is concentrated in high-value, long-duration markets. We will also compare drug classes with known high/low elasticity of demand. We will also examine coupon penetration among acute conditions.

Preliminary results using SVM information indicate that, although areas with higher social and financial vulnerability exhibit greater coupon use in simple cross-sections, this relationship reverses after adjusting for region and payer mix: within regions, higher social vulnerability is associated with slower growth in coupon penetration over time. The fastest-growing coupon trajectories are concentrated in commercially attractive, less vulnerable ZIPs and in long-duration therapeutic areas such as HIV.
Robustness checks, including alternative vulnerability and inequality measures, pre-trend falsification tests, and sensitivity to coupon intensity definitions, support these patterns. Together, our preliminary findings suggest that manufacturer coupons function less as equity-enhancing tools and more as a strategic instrument to convert new patients and retain existing ones regardless of need, with implications for the regulation of manufacturer-sponsored coupon programs and the design of income-based cost-sharing protections.
"
38,8,Drug Pricing and Market Competition,"Market Size, Biosimilar Entry, and Price Competition in U.S. Biologic Drug Markets",Morgane Mouslim (University of Michigan ); Jeffrey  Mccullough (University of Michigan); Antonio Trujillo (Johns Hopkins University ),"Biologic drugs account for a rapidly growing share of U.S. pharmaceutical spending, yet competition from biosimilars has emerged unevenly and often later than anticipated. This study examines how market size, firm entry, and pricing dynamics interact in U.S. biologic drug markets. Using quarterly sales and net price data from 2010 to 2023, we analyze ten biologics with marketed biosimilars and two biologics whose exclusivity has expired without biosimilar entry. We apply an entry-threshold framework from industrial organization to estimate the minimum market size required to sustain successive biosimilar entrants and assess how competitive conduct evolves as markets mature. Entry thresholds are estimated using an ordered probit model, and pricing effects are evaluated using a difference-in-differences design with a Callaway and Sant'Anna approach to account for staggered biosimilar entry across molecules.

We find that larger markets support more biosimilar entrants and that the market size required to sustain additional entry declines with each competitor, consistent with increasing competitive pressure. The largest shift in competitive conduct occurs between the first and second entrants. Biosimilar entry is associated with substantial reductions in originator net prices, with average declines of approximately 78 percent following first entry.  . Entry threshold patterns suggest that while biologic markets do not exhibit perfect competition, they can become highly competitive with multiple biosimilar entrants.
Policies that lower barriers to early biosimilar entry may generate the most gains in competition and affordability. Interventions that accelerate initial entry, rather than those focused solely on increasing the total number of biosimilar competitors, may be most effective in reducing biologic drug spending."
46,8,Drug Pricing and Market Competition,Potential Impact of Tariffs on the Price of Generic Drugs Made in the US with Imported Active Ingredients,Mariana Socal (Johns Hopkins Bloomberg School of Public Health); Yunxiang Sun (Johns Hopkins Bloomberg School of Public Health); Jeromie Ballreich (Johns Hopkins Bloomberg School of Public Health); Joy Acha (Johns Hopkins Bloomberg School of Public Health); Mohammad Ali Yazdi (Johns Hopkins Carey Business School); Tinglong Dai (Johns Hopkins Carey Business School); Maqbool Dada (Johns Hopkins Carey Business School),"Using U.S. importation data 2019-2024, this study modeled the potential impact of tariffs on the prices of generic drugs manufactured in the U.S. with imported active pharmaceutical ingredients (APIs). Under baseline assumptions a 100% worldwide tariff would result in average price increase of 30% (additional $21.15) per prescription and a blended tariff based on rates proposed by the Federal Administration would result in an average price increase of 10% (additional $6.22) per prescription for domestically-produced generics using imported APIs. Estimates varied across drugs reflecting different API importation patterns. Assumptions on the tariff rate, the contribution of the API cost to the final drug price, and on the supply chain’s ability to absorb the added tariff cost contributed markedly to determining the final price. The study findings do not generalize to U.S.-made generics using U.S.-made API but could be relevant to U.S.-made branded drugs using imported API. Tariffs could raise costs for U.S. drug manufacturers using imported APIs, potentially limiting affordability and manufacturers’ competitiveness in U.S. and global markets. Policies to incentivize “made-in-America” prescription drugs should incentivize domestic API production or reconsider API tariffs."
58,8,Drug Pricing and Market Competition,Global Availability and Prices of Medicare’s Ultra-Expensive Drugs: Implications for a Most Favored Nation Policy,Allison Kim (Georgetown University); So-Yeon Kang (Georgetown University),"Research Objective: The increasing prevalence of high-cost specialty drugs pose key concerns for policymakers and patients. Particularly, ultra-expensive drugs (UEDs) account for a disproportionate share of Medicare Part D spending. Recent policy proposals, such as most-favored-nation pricing, have considered external reference pricing to address high drug prices, but limited evidence on UED availability and pricing outside the United States constrains assessments of these approaches. This study characterizes UEDs in Medicare Part D and examines their availability and relative prices across industrialized countries. 

Study Design:  We conducted a retrospective cohort analysis of UEDs, defined as therapies with annual per-beneficiary spending exceeding U.S. per-capita GDP. Primary data sources included Medicare Part D Spending by Drug data (2019–2023) from the Centers for Medicare and Medicaid Services and wholesaler acquisition prices as of November 2025 for OECD countries, obtained from sources used by external reference pricing authorities and processed by Eversana® Navlin pricing and access data. We characterized each drug by Medicare Part D total and annual per-beneficiary spending, years since launch, therapeutic area, orphan designation, and drug modality. Analyses of international availability and pricing focused on UEDs identified in 2023.  

The outcomes were international availability across 36 OECD member nations and their relative drug prices. We conducted a subgroup analysis of 22 OECD countries with a GDP per capita of at least 60% of the U.S.'s based on the 2025 ""Delivering Most-Favored-Nation (MFN) Prescription Drug Pricing"" Executive Order’s evaluation criteria. Adjusted logistic regression models examined associations between drug characteristics and international availability. We constructed U.S.-to-foreign price ratios. 

Population Studied: 189 therapies whose annual per-beneficiary Medicare Part D spending exceeded the U.S. per-capita GDP in 2023. 

Principal Findings: The number of UEDs in Medicare Part D increased from 123 to 189 between 2019 and 2023, and spending rose from $28.9 billion to $45.5 billion, representing 35.4% of total Part D spending. Among 2023 UEDs, 31.9% were biologics and 77.8% held an orphan designation or indication. Common therapeutic areas were antineoplastic therapies (31.3%),  immunosuppressants (10.3%) and alimentary tract and metabolism products (9.7%). Across OECD countries, availability ranged from 9 to 125 UEDs (median 102 UEDs). Internationally available UEDs were more likely to be antineoplastic therapies (44.3%), small molecule drugs (65.1%), and orphan designated or indicated (74.9%) than UEDs without international availability, and had higher annual per-beneficiary spending (all p< 0.001). Adjusted logistic regression showed association between biologics and international availability (OR 1.3, p=0.03)  with substantial variation across therapeutic classes. The median U.S.-to-foreign price ratio was 3.62 (IQR 2.10 - 5.96) across reference countries. 

Conclusions: Despite rapid expansion of UEDs in Medicare Part D, particularly orphan, biologic, and cancer therapies, international availability in comparable economies remains limited. International availability concentrated in small-molecule, antineoplastic agents, and those with orphan indications, with the US price 3.6-fold higher than those in reference countries. 

Implications for Policy or Practice: The absence of international price benchmarks for many UEDs suggests limited feasibility of applying external reference pricing to UEDs and highlights the need for additional consideration of drugs relying heavily on the U.S. market."
94,9,Drug Quality and Safety,Assessing the Security and Quality of the U.S. Military Health System Pharmaceutical Supply Chain: A Pilot Study (PhaSQ),"Miranda Janvrin (The Henry M. Jackson Foundation for the Advancement of Military Medicine, Inc.); Amandari Kanagartnam (The Henry M. Jackson Foundation for the Advancement of Military Medicine, Inc.); Kyle Patrick Apilado (The Henry M. Jackson Foundation for the Advancement of Military Medicine, Inc.); David Light (Valisure, LLC); Vic Suarez (Bluezonebio); Irwin Lucki (Uniformed Services University of the Health Sciences); Tracey Koehlmoos (Uniformed Services University of the Health Sciences)","Abstract: The Nation and military readiness are impacted by the quality, safety, and availability of pharmaceutical products. The Assessing the Security and Quality of the U.S. Military Health System Pharmaceutical Supply Chain (PhaSQ) pilot study benefits the entire Nation by identifying and potentially mitigating the negative impacts of ineffective, impure, or unavailable pharmaceuticals. A lack of resilience and lack of transparency regarding quality in the supply chain, and the reliance on other countries to manufacture crucial drugs, are known national security risks. This project will be completed via four lines of effort. The first line of effort compares the essential medicines lists between the US Department of War (DoW), Food and Drug Administration, Department of Health and Human Services, and World Health Organization. The second line of effort synthesizes recommendations made to the DoW by other government agencies to strengthen its pharmaceutical supply chain. The third line of effort assesses the acceptability of a proposed “red, yellow, green” scoring tool for drug quality, which will include participants from the DoW, other federal agencies, and members from the private sector of the US healthcare system. The last line of effort, undertaken in partnership with Valisure, LLC, evaluates 42 drug products for quality and safety. To date we have completed the first two of our four lines of effort. All lines of effort are expected to be completed in 2026. Findings from this study are anticipated to inform decision making regarding sourcing and distribution of high-quality essential drug products.

Disclaimer: The contents, views or opinions expressed in this manuscript are those of the author(s) and do not necessarily reflect official policy or position of Uniformed Services University of the Health Sciences, the Department of War, the Departments of the Army, Navy, or Air Force, the Veterans Health Administration, or the Henry M. Jackson Foundation for the Advancement of Military Medicine, Inc. Mention of trade names, commercial products, or organizations does not imply endorsement by the U.S. Government.
"
95,9,Drug Quality and Safety,Assessing the Acceptability of a Proposed Generic Pharmaceutical Quality Scoring Tool for Application in the United States and Military Health Systems,"Miranda Janvrin (The Henry M. Jackson Foundation for the Advancement of Military Medicine, Inc.); Amandari Kanagaratnam (The Henry M. Jackson Foundation for the Advancement of Military Medicine, Inc.); Kyle Patrick Apilado (The Henry M. Jackson Foundation for the Advancement of Military Medicine, Inc.); Vivitha Mani (The Henry M. Jackson Foundation for the Advancement of Military Medicine, Inc.); Tracey Koehlmoos (Uniformed Services University of the Health Sciences)","Abstract:
Introduction: The Department of War (DoW) commissioned a study to assess the quality and safety of pharmaceutical products critical to the operational needs of the Military Health System (MHS) and develop, apply, and test a quality scoring tool. In this study we aim to assess the acceptability, validity, and utility of a proposed quality scoring tool that incorporates various chemical analysis data.

Materials and Methods: The current study is a qualitative key informant interview study to assess the acceptability of the proposed scoring tool. We recruited participants who are key stakeholders involved in the DoW or US pharmaceutical supply chain, using purposive and snowball sampling. We provide participants with contextual information about the tool in advance of the virtual interview. Two interviewers are present for each interview; one leads the discussion with a pilot-tested interview guide, and the other interviewers record detailed notes. Thematic  analysis of responses will be conducted using NVivo.

Results: At present, we have conducted 16 out of an expected 30 interviews. Participants have provided insights into aspects of the proposed tool and the potential applicability of the tool within the DoW and US health system. We anticipate results from this study will inform policy making regarding sourcing and distribution of high-quality drug products for both the MHS and the Nation.

Conclusions: This is the first study to evaluate the acceptability of a generic pharmaceutical quality tool. We anticipate to complete all analysis and interpretation of results by May 2026.

Disclaimer: The contents of this publication are the sole responsibility of the authors and do not necessarily reflect the views, assertions, opinions or policies of the Uniformed Services University of the Health Sciences (USUHS), the Henry M. Jackson Foundation for the Advancement of Military Medicine, Inc. (HJF), the Department of War (DoW), or the Departments of the Army, Navy, or Air Force.  Mention of trade names, commercial products, or organizations does not imply endorsement by the U.S. Government.  The authors declare no conflict of interest."
50,9,Drug Quality and Safety,Preannounced Regulatory Inspections: FDA Oversight and Drug Quality Risk,Zach Wright (Brigham Young University); John Gray (The Ohio State University Fisher College of Business); In Joon Noh (Korea University); George Ball (Indiana University Kelly School of Business),"When inspecting a U.S. drug manufacturing facility, FDA inspectors arrive unannounced. However, in foreign countries
such as India, FDA inspectors provide significant advanced notice of their inspection, often many weeks or even months
before arriving. We examine the impact of these differing FDA inspection approaches on inspection outcomes and drug
quality. We first use 15 years of data from unannounced U.S. and preannounced Indian FDA inspections at over 200
facilities. Using a matching analysis to mimic the FDA’s model for selecting facilities for inspection, the 15-year dataset
indicates no significant difference in the odds of unannounced U.S. and preannounced Indian facilities receiving the most
severe inspection outcome, implying relatively equivalent drug manufacturing quality. Next, we examine previously unexplored data from two unannounced inspection pilots conducted by the FDA in India. These pilots enable us to disentangle
whether the equivalent inspection outcome result is indicative of similar drug quality or a greater difficulty of detecting
drug quality issues with preannounced inspections. We find that the odds of a facility receiving the most severe inspection
outcome are over 250% higher for unannounced inspections compared to preannounced inspections at the same facility in
India. Finally, using a matched sample of facilities producing over 3,000 drugs, we demonstrate potential consequences of
preannouncing inspections in India, showing that the number of serious adverse events for drugs made in Indian facilities
that experience preannounced inspections are significantly greater than for drugs made in matched facilities in the U.S.
that experience unannounced inspections. Our findings provide the first quantitative empirical evidence that preannouncing FDA inspections may allow drug manufacturers to operate with greater and undetected quality risk."
