session_id,id,title,authors,abstract,session_name
37,157,Data Privacy Regulation in Digital Economy: Evidence from Mobile App Markets in Southeast and South Asia,Mingtao Xu (Tsinghua University); Wenzhe Xu (Tsinghua University),"Privacy regulations have become a central policy instrument reshaping digital industries worldwide. Most advanced economies have widely adopted GDPR-style data protection laws, and emerging markets are increasingly adopting similar laws. However, while studies on privacy regulations focusing on advanced economies often take trust in formal institutions and enforceability for granted, little attention is paid to the weaker formal institutions and greater implementation uncertainties in emerging markets. Such differences fundamentally affect how privacy regulations affect consumers of digital services and industry dynamics.
We examine the market impact of tightening data privacy regulations in weak institutional environments. Specifically, by exploiting staggered policy promulgation and enactment across Southeast and South Asian countries that experienced rapid digital growth alongside expanding regulation, we examined the impact of these privacy laws on mobile app performance. Using 10 years of weekly data on 934 apps across 11 markets and multiple differences-in-difference (DiD) designs, we explore the causal effects of privacy laws on user behavior and app performance.
We show that, first, privacy regulation primarily operates on the extensive margin of digital participation. Following policy promulgation, app downloads decline by roughly 12-17%, install bases contract, and active users fall by about 6-7%. In contrast, intensive-margin indicators, such as time spent on apps, exhibit small or statistically insignificant changes. This pattern suggests that regulations mainly deter user participation as they raise users’ privacy awareness and concern under weak institutions, rather than offering assurance of privacy protection. Second, privacy regulations result in lower user experiences. Average user app ratings decline by approximately 0.15 points (on a scale of 5 points), and the volume of new ratings falls by 30-35% upon policy introduction. These rating responses precede most behavioral adjustments, indicating users’ reassessment of app trustworthiness or perceived value following heightened privacy awareness. Third, privacy regulations affect apps unevenly in that domestic apps and those with smaller prior user bases experience larger declines, while foreign apps and those with larger pre-existing user bases remain resilient. These patterns point to differences in compliance capacity and perceived credibility, implying that privacy regulation in low-trust environments may unintentionally reinforce market concentration and disadvantage domestic and smaller developers.
Taken together, our findings contribute to studies of digital privacy rights and highlight a central trade-off in privacy policy under weak institutions. While data protection strengthens individuals’ ownership over personal data, it also reduces digital participation and shifts market share toward already advantaged firms from advanced economies. For firms in emerging markets, this underscores the importance of complementary measures, such as credible enforcement and transparency, to acknowledge the value of users’ data and ensure users’ trust in firms’ compliance.",AI and Digital Economy Policy
37,196,The Co-Evolution of Policy Framework and the Artificial Intelligence Innovation Ecosystem in Taiwan,"Shih-Hsin Chen (Institute of Technology of Management, National Yang Ming Chiao Tung University; Asu Barrett & O’connor Washington Center (CSPO, DC, USA)); Hung-Chi Chang (National Yang Ming Chiao Tung University)","How do innovation ecosystems evolve in response to global technological shifts and institutional adaptation? How does the high-tech sector in small emerging economies engage with the global innovation ecosystem? This study investigates the transformation of the artificial intelligence (AI) innovation ecosystem in Taiwan, examining how firms engage in knowledge exchange, comply with international regulations, and adapt to industrial restructuring. Adopting a multi-level perspective (MLP) as the framework, we analyze the dynamic interactions between technological niches, regimes, and landscapes. Combining scientometric mapping, social network analysis (SNA), and qualitative system dynamics to trace knowledge flows, collaboration patterns, and policy feedback loops from 2000 to 2023. The findings reveal that while Taiwan’s AI ecosystem is deeply integrated into global knowledge networks—particularly in semiconductor and biomedical domains—it faces a structural asymmetry. Firms leverage their established hardware strengths but rely heavily on strategic partnerships with global technology leaders to compensate for deficiencies in software and algorithms. Consequently, despite strong global connectivity, the sector struggles to establish a distinctive niche beyond its traditional manufacturing dominance. This study contributes to the innovation systems literature by integrating qualitative system dynamics into the MLP framework, thereby mapping policy-innovation feedback loops in small open economies. The findings provide critical insights for policymakers on managing ecosystem transitions and for firms on developing competitive business models to bridge the ""hardware-software divide"" in the global AI economy.
",AI and Digital Economy Policy
37,197,The Mutual Shaping of the Policies and Sectoral Developments in AI-Enabled Biomedical  Clusters: A Comparative Prospective of Responsible Innovation in Taiwan and Virginia,"Rider W. Foley (Department of Engineering & Society, School of Engineering and Applied Science, University of Virginia (USA)); Shih-Hsin Chen (Institute of Technology of Management, National Yang Ming Chiao Tung University;Asu Barrett & O’connor Washington Center (CSPO, DC, USA) ); Wen-Hsin Chi (Institute of Technology of Management, National Yang Ming Chiao Tung University; Department of Engineering & Society, School of Engineering and Applied Science, University of Virginia (USA)); Hung-Chi Chang (National Yang Ming Chiao Tung University)","How can responsible innovation reshape the development and governance of AI-enabled biomedical technology in different socio-technical contexts? This research explores how responsible innovation can be situated in different socio-political contexts. Biomedical technology was selected as the focal domain in metropolitan DC in the United States (US) and Taiwan. This study investigates how responsible innovation principles are interpreted, implemented, and negotiated within biomedical innovation practices. Semi-structured interviews with key stakeholders (n=46), 23 in Taiwan and 23 in US, policy documents, and official reports provide empirical data for the case studies. The U.S. system emphasizes market responsiveness and reflexivity, driven by investor pressures and entrepreneurial dynamics, whereas Taiwan’s mission-oriented governance cultivates future-oriented strategies shaped by adaptive policy frameworks and international markets. Nevertheless, in both systems, patients remain peripheral in the early stages of innovation, and hospitals tend to function primarily as clinical trial sites rather than as co-creators of innovative technologies. The level of commitment to RI is insufficient to embed social values in the process or healthcare outcomes in both cases. This study contributes to a more context-sensitive understanding of responsible innovation and offers insights into assessing regional innovation.",AI and Digital Economy Policy
37,211,"Forecasting the Winners and Losers of H-1B Reforms Across Industries and Workers: Will firms, universities, and health care lose workers or profits?",Ron Hira (Howard University); Hal Salzman (Rutgers University),"As the U.S.’s largest skilled guestworker program, the H-1B visa is used by tens of thousands of firms who employ more than 600 thousand of these guestworkers. The H-1B program has been described as the swiss army knife of guest worker programs because of the varied nature of employers and workers who use it. The Trump administration proposing the most farreaching reforms to the H-1B program since its inception. The three reforms implemented for this year are: 1) employers are assessed a new $100,000 fee for visas for certain workers, 2) the annual process for selecting new visas has been modified to favor higher wages, and 3) stepped up enforcement of program rules by the Department of Labor (DOL) . The DOL has also announced changes the minimum wage employers are required to pay H-1B workers. These reforms will alter the types of firms that apply for and receive visas, and the pool of worker-beneficiaries. We examine the expected winners and losers from these policy changes and potential impact, with focus  on the tech sector as the largest user of this guestworker visa and health care system which relies on the H-1B for a large supply of residents.",AI and Digital Economy Policy
39,171,Optimal Design of Reliability Rating Systems and Resource Allocation for Improving Drug Shortages,Junghee Lee (University of Notre Dame); Eojin Han (University of Notre Dame),"Generic drug shortages have been a persistent issue the U.S., compromising public health.
A primary driver of these shortages is a fundamental market failure; because generic drugs are viewed as undifferentiated commodities, the market prioritizes the lowest price over long-term reliable supply. Such price-driven competition discourages manufacturers from investing in reliability. To address this systemic failure, U.S. policymakers have initiated two independent regulatory moves: the Food and Drug Administration’s (FDA) Quality Management Maturity (QMM) program, designed to rate manufacturing quality to facilitate market differentiation, and the Senate Finance Committee’s proposed Medicare Drug Shortage Prevention and Mitigation Program, which would leverage tiered financial incentives.

Despite their shared objectives, these frameworks currently lack a cohesive economic integration. This study utilizes a game-theoretic model to analyze the optimal design of discretized reliability rating systems and the strategic allocation of resources between two suppliers with asymmetric reliability capabilities. Our results indicate that when a policymaker can override firm decisions to maximize total expected supply (conditional on firm profitability), resources should be prioritized for the less capable supplier. Conversely, when firms maintain autonomous decision-making, optimal resource allocation must shift toward the more capable supplier to ensure the market rewards the highest tiers of reliability. Paradoxically, we demonstrate that the optimal resource allocation for the high-capability supplier may increase and then decrease as its competitor’s capability diminishes. This research provides actionable insights and theoretical guidelines for integrating quality-based regulatory assessments and with the financial incentive reforms currently under consideration.
",Humanitarian and Development Policy
39,177,"""If we don't do it, who will?"" Stretching humanitarian operations capabilities in the West Africa Ebola epidemic",Lauren Bateman (George Washington University); Erica Gralla (George Washington University),"The West Africa Ebola response in March 2014 was an extremely challenging emergency for the humanitarian community. Few humanitarian organizations were prepared for its complexity, but they stretched their capabilities to respond when the urgent need became clear. Through an in-depth case study of one organization's Ebola response, this paper explores the limits of humanitarian operational systems and processes in novel contexts and examines how they adapt to meet operational needs. We find that some operational processes were not flexible enough to meet the needs of the response. The resulting operational challenges were solved at least as often by individuals stepping up to find solutions as by changing the organization's official processes. Humanitarian organizations should recognize the importance of individual efforts by response staff in adapting processes to novel needs, and should consider developing more flexible processes. Our findings demonstrate the importance of individual knowledge and initiative when organizational systems and processes are stretched to their limits.",Humanitarian and Development Policy
39,180,Rewiring the humanitarian ecosystem: relationships in a post-USAID world,Maryam Deloffre (George Washington University); Caitlin Grady (George Washington University); Erica Gralla (George Washington University),"The substantial reductions in USAID  funding have created unprecedented challenges for organizations across the humanitarian and development sectors. While much attention has focused on programmatic impacts (i.e. number of grants and programs cancelled), there has been limited systematic research on how these disruptions have affected the complex web of relationships that enable effective humanitarian and development work – relationships between implementers, suppliers, government agencies, and those served by aid. Our research aims to fill this critical knowledge gap by examining changes across the aid ecosystem. We deployed an anonymous survey of humanitarian professionals focused on six key areas: partnerships and collaboration, information and knowledge access, financial and organizational stability, internal organizational dynamics, supply chain and logistics, and programmatic service delivery. A series of in-depth interviews supplement the quantitative data to identify how cuts have been felt by organizations and those they serve. The findings show differences in the impact of cuts across geographic and organizational lines, surface key weaknesses and strengths in the evolving aid ecosystem, and highlight some positive adaptations along with many negative impacts.",Humanitarian and Development Policy
40,90,Industrial Innovation Policy: new wine in new bottles. Why government intervention should be informed by the functioning of industrial innovation systems,Keno Haverkamp (University of Cambridge); Guendalina Anzolin (University of Cambridge); William Bonvillian (MIT); Eoin O'sullivan (University of Cambridge),"Since the global financial crisis, industrial policy has once again become a priority on governments’ agendas. However, the return of industrial policy is insufficient on its own; acknowledging the need for state intervention is only a marginal step away from the neoclassical economic consensus. To mark a full departure from it, there is a strong need to rebuild state capacity and open the black box (Rosenberg, 1982) of innovation and production, addressing the multilayered system that allows countries to reach sustained levels of innovation and competitiveness. Our paper focuses on this second aspect, which is not only a process of building (or strengthening) industrial foundations, but also investing simultaneously in science and technology. We argue that addressing these challenges requires moving beyond conventional distinctions between industrial and innovation policy. We therefore introduce the concept of industrial innovation policy (IIP), highlighting its semantic and analytical significance. IIP places innovation and technological upgrading at the centre of industrial development while explicitly recognising that industry boundaries are increasingly defined by capabilities rather than products or sectors. Despite the growing use of the term, IIP has thus far lacked a clear conceptual definition and, crucially, a systematic examination of the industrial and innovation systems that underpin it. The paper opens the “black box” of innovation and production and conceptualises IIP as an evolutionary, institutionalised process of coordination among diverse actors. By recombining industrial and innovation systems analysis and through exemplary cases, the paper makes a normative case for IIP and offers a conceptual framework.",Industrial Policy Frameworks
40,118,Evaluating Industrial Policy Instruments: Insights from Economic Complexity,Abhishek Krishnan (University of British Columbia); Wouter Bam (University of British Columbia),"Industrial policy is experiencing a renewed wave of attention across the world for various reasons. More recently, studies have begun building better datasets that enable researchers to evaluate implementation patterns, such as the countries most active and the industries targeted. While these studies discuss the instruments used, qualitative factors such as their implementation feasibility and the drivers of their adoption remain largely unexplored.
In this study, we aim to provide deeper insights into the patterns of usage of different industrial policy instruments. We leverage the principles of economic complexity, originally applied to trade data to understand the complexity of products and the factors driving their emergence in countries’ product baskets. Following similar principles, we construct a bipartite network linking countries to policy instruments based on the intensity of their use in announced policies, using a global industrial policy database covering 2010–2022.
We first calculate the complexity of policy instruments, finding that subsidies such as financial grants and state loans are the most complex tools, while export-related measures such as export subsidies and tax-based export incentives are the least complex. Here, complexity can be interpreted as affecting feasibility, with higher complexity implying lower feasibility due to factors ranging from internal considerations, such as state capacity, to external ones, such as trade dependence. We also observe path dependence in the adoption of new instruments, which becomes more pronounced for more complex tools. These insights are particularly useful for industrial policy planning, especially in sequencing the deployment of policy instruments.",Industrial Policy Frameworks
40,176,Key Federal Industrial Policy Initiatives Since 1789,Andrew Reamer (George Washington University),"In the last decade, the federal government has initiated a number of efforts to strategically facilitate the capacity of U.S.-based businesses to compete in global markets. While the rationale for such efforts was at odds with the neoliberal consensus that reigned for several decades, it was consistent with those of numerous federal industrial policies from the Washington Administration forward. This paper identifies key federal industrial efforts over the nation's history and articulates the various themes that emerge across two and a third centuries.",Industrial Policy Frameworks
40,59,Industrial Policy Frameworks,Product Innovation as Emergent Hypothesis,William Benton (Virginia Commonwealth University),"Product innovation is a function of the component units of a firm processually aligning to create a novel solution to a firm's goals. Product innovation is thus a representation of a firm's capacities, including the ability to grasp market direction. This means that product innovation is both a process of hypothesis-making about firm capacity to engage a market and a representation of that firm's market perception.

   Understanding product innovation as an emergent representational strategy gives a single formal framework for what is often seen as a function of several parts of an organization collaborating across internal boundaries. The rise of ""product"" roles in this century speaks to the need for a complexity management function within the productive process, just as the decay of traditional middle management speaks to a rationalization of the operating processes of large firms. Viewing novel products as representations of a firm akin to quarterly statements, as readable documentation of the firm's ability to innovate and that firm's beliefs about the nature and direction of the markets they serve adds to the means by which firm capacity can be understood.

   By understanding product innovation as a materially representative hypothesis simultaneously concerning the nature of the firm and its surrounding markets, we can better understand the pragmatic application of innovation to times that may be more uncertain than usual. This paper draws on ethnographic research in nascent innovation ecosystems and present practice in product innovation."
