id,title,authors,abstract,session_id,session_name
76,The Impact of Import Bans on the U.S. Recycling Market: Evidence and Interventions,Mateus Do Rego Ferreira Lima (Indiana University); Christian Blanco (The Ohio State University),"The implementation of China’s National Sword Policy in 2018 imposed strict contamination limits and outright banned several categories of recyclable materials, abruptly disrupting the global recycling markets. In this paper, we examine how the policy affected prices of recyclable materials in the United States and evaluate which individual and household-level municipal behavioral interventions were effective in mitigating these impacts. We assemble a unique longitudinal dataset composed of daily prices for 26 recyclable materials across six U.S. regions from 2015 to 2020. Using a difference-in-differences research design, we compare price trajectories of banned materials to non-banned materials before and after the policy, controlling for product, region, and year fixed effects. Our results show that prices of banned recyclable materials declined substantially relative to non-banned materials following the implementation of the policy. This reflects a sudden supply-demand imbalance in the U.S. recycling market, characterized by excess domestic supply and limited national processing capacity, which rendered much of the material unsellable. To examine how municipalities responded, we combine the price data with text-based evidence from 212 news articles documenting local recycling interventions. We focus our analysis on behavioral monetary, and non-monetary categories while using other municipal interventions as controls. We find that monetary interventions exhibit positive and statistically significant effects on prices at longer lags, whereas non-monetary interventions show weak and diminishing impacts. Overall, the findings highlight how trade policy shocks propagate through domestic recycling markets and demonstrate the critical role of targeted behavioral interventions in stabilizing prices following major industry disruptions.",43,Industrial Decarbonization Pathways
163,An Agent-Based Model of Technology Diffusion in the U.S. Cement Industry,Vanessa Cedeno-Mieles (University of Virginia); Andres Clarens (University of Virginia); Majid Shafiee-Jood (University of Virginia),"The adoption of low-carbon industrial technologies depends not only on economic incentives but also on regulatory feasibility, institutional timing, and coordination across supply-chain actors. This paper presents an empirically grounded agent-based model (ABM) of low-carbon cement adoption in the United States that explicitly represents manufacturers, ready-mix producers, private demand, and state-level regulators within a multi-scale decision framework. Rather than imposing exogenous adoption trajectories or equilibrium outcomes, the model separates aggregate cement demand from technology diffusion. Aggregate demand is calibrated using U.S. Geological Survey consumption data to preserve empirically observed seasonal and long-term patterns, while technology adoption emerges endogenously from firm-level decisions constrained by regulatory access, supply-chain readiness, and peer influence. Using Portland Limestone Cement (PLC) as a calibration and validation case, we demonstrate that historically low early adoption rates cannot be explained by demand or cost signals alone but require explicit representation of regulatory and institutional gating mechanisms. A gradual regulatory feasibility ramp, reflecting evolving standards, building codes, and agency acceptance, produces adoption dynamics consistent with observed PLC uptake. Variance-based global sensitivity analysis further identifies which regulatory, market, and organizational parameters most strongly govern adoption timing and diffusion speed. By formalizing regulatory feasibility as a dynamic constraint rather than a fixed assumption, this framework provides a policy-relevant foundation for evaluating the adoption of alternative low-carbon cement blends such as LC3. The model is designed to support policy scenario analysis, enabling systematic comparison of regulatory pathways, coordination mechanisms, and deployment timelines for emerging cement technologies.",43,Industrial Decarbonization Pathways
64,Industrial Decarbonization: Pathways for Productivity and Growth,Elisabeth Reynolds (MIT); Nathan Collett (MIT); Martin Staadecker (MIT),"Manufacturing and industrial production more broadly is undergoing a transformation towards resilience, energy security, and digitization in the face of emerging global challenges and opportunities. While several decades of climate action have influenced industry leaders’ values and expectations about the need to curtail and replace heavily emitting processes, industrial decarbonization strategies have now become part and parcel of companies’ larger goals around growth and productivity. Companies are now interested in reducing energy costs, waste, and emissions while also reducing energy price risks and pursuing new market opportunities.

Through five case studies of large industrial multinational firms that have actively pursued decarbonization strategies, we shed light on how firms are able to meet their core objectives of increasing productivity and maintaining cost-competitiveness while also decarbonizing. Considerations such as future demand for products, regulations, project-level accounting systems, and independent leadership priorities enrich the picture presented by much of the prevailing academic literature, which primarily assesses the merits of green upgrades based on their ability to reduce costs.",43,Industrial Decarbonization Pathways
67,Quantifying Battery Electric Vehicle Affordability in the United States,John Helveston (George Washington University); Joseph Severino (National Laboratory of the Rockies); Zain Hoda (George Washington University); Qichao Wang (National Laboratory of the Rockies); Bo Liu (National Laboratory of the Rockies),"Electric vehicle (EV) adoption in the United States remains constrained by affordability barriers, with growth concentrated in higher price segments rather than in affordable vehicle markets. This study presents a novel bottom-up approach to assess EV affordability by combining synthetic household data representing over 150 million U.S. households with machine learning-based expenditure modeling and comprehensive vehicle market data. We constructed household-level financial profiles using Public Use Microdata Samples and trained an XGBoost model on 2019 Consumer Expenditure Survey data (26,000 households) to predict spending-to-income ratios across major categories. Local vehicle markets were defined using 90-minute driving isochrones from census tract centroids, incorporating 19 million vehicle listings from approximately 60,000 dealerships nationwide in 2024. Our analysis reveals that battery electric vehicles (BEVs) are growing fastest in price segments above $40,000, with minimal growth in segments below $30,000. While 99% of Americans have access to at least one internal combustion engine vehicle (ICEV) per person within their budget, only 63% have equivalent access to BEVs—a dramatic improvement from 10% in 2018, but still far from parity with ICEVs. Approximately 25% of Americans have access to fewer than one BEV for every two people. The BEV-to-ICEV ratio within budget averages approximately 1:50 across most of the country. Subsidies have differential impacts across market segments: a $10,000 incentive increases accessible driving range by 22% for new cars, 40% for new SUVs, 39% for used cars, and 27% for used SUVs. This study provides policymakers with granular, location-specific insights for designing targeted incentive programs that address persistent affordability gaps in the transition to electric mobility.",44,EV Transition and Automotive Industry
89,Unintended Consequences of Technology Neutrality:  A Comparative Analysis of US and Chinese Industrial Policy in the EV and Battery Sectors,Keno Haverkamp (University of Cambridge); Guendalina Anzolin (University of Cambridge); Simon Collinson (Zhejiang University); Xiayu Zhai (Peking University); Eoin O'sullivan (University of Cambridge),"Recent industrial policies in advanced economies have been increasingly shaped by the climate-security nexus. Geopolitical interests and green industrial policies increase the need for policy alignment, while at the same time, they can increase the risk of contradicting policy targets. In this paper, we seek to analyse the unintended consequences of supply and demand-side industrial policy in the US and Chinese electric vehicle (EV) and battery sectors. The US has largely maintained a technology-agnostic stance when it comes to ‘picking technologies’. Given pre-existing capabilities and established supplier networks, US OEMs naturally chose nickel-based cathodes (NMC or NCA) for early EV models. However, recent geopolitical restrictions have sought to limit the reliance on supply chains with so-called Foreign Entities of Concern (FEOCs), thereby implicitly favouring lithium iron phosphate (LFP). We argue that this has led to unintended consequences where policies effectively favoured battery chemistries where the US does not have capabilities, and without providing specific (LFP) supply side policies.  In contrast, China, through its NEV credit subsidy and the 863 program, took a much more targeted approach by specifying performance metrics such as safety, costs, or manufacturing scale to influence the choice of battery technologies. To compare the two cases, we created a novel database that allows us to map supply and demand-side policies in each country. We conclude that governments should, where appropriate, consider making explicit technology choices, as otherwise the private sector will choose what is readily available or cost-effective, but which might undermine the government’s industrial policy goals.",44,EV Transition and Automotive Industry
93,Trade Exposure and the Direction of Green Technological Change in the Global Automotive Industry,Hengrui Liu (Tufts University),"The transition toward electric vehicles (EVs) has proceeded unevenly across automobile-producing countries, even among those with comparable industrial capacity. Existing literature emphasizes domestic policy choices, market size, and infrastructure, but gives less attention to the role of international trade in shaping national innovation trajectories. This paper examines whether—and how—export-market exposure influences the direction and pace of technological change in the automotive sector.
We focus on the political economy of producer–consumer linkages, arguing that exporters are shaped not only by domestic policy incentives but also by regulatory and demand conditions in the markets they serve. Using a panel of major automobile-producing countries over roughly fifteen years, we construct export-weighted measures of exposure to destination markets with differing EV-related regulatory stringency. We pair these measures with country-level indicators of EV-oriented innovation, including patenting activity in electric propulsion and battery technologies, as well as domestic EV adoption outcomes. Exploiting temporal variation in destination-market policy tightening, the analysis shows that greater exposure to stringent regulatory environments is associated with more rapid shifts toward EV-oriented technological development, while exposure to less stringent markets corresponds to more incremental transition paths.
The findings point to a mechanism through which global trade integration conditions green technological change: export-oriented industries adjust their innovation strategies in response to external regulatory and market pressures, with consequences that spill back into domestic production and adoption. More broadly, the paper speaks to debates on industrial policy and international political economy by showing how cross-border economic linkages shape national responses to low-carbon transitions, with implications for the governance and political sustainability of green industrial transformation.
",44,EV Transition and Automotive Industry
159,The Transition from Oil to Electricity: Reshaping the Global Automotive Industry and Energy System,"Martin Kenney (University of California, Davis); Jun Sun (East China University of Science and Technology)","The ongoing transition from internal combustion engine (ICE) vehicles to electric vehicles (EVs) represents more than a technological substitution; it constitutes a fundamental restructuring of the global energy landscape and the geopolitical configuration of the automotive industry. This paper frames this shift through the lens of Carlota Perez’s techno-economic paradigm theory, arguing that the world is moving from a long-dominant Fossil Fuel Triad (oil extraction, refining, and ICE vehicles) to an emerging Cleantech Triad (solar photovoltaics, batteries, and EVs). The Cleantech Triad, wherein renewable assets enable the manufacturing of energy rather than the continuous importation of combustible fuels, offers a systemic alternative for nations seeking to reduce long-term energy import dependence. China has emerged to lead global technology diffusion during this paradigm shift, as evidenced by its “New Trio” of photovoltaics, batteries, and EVs becoming a central pillar of the export economy.
Through an integrated analysis of global trade and investment data, semi-structured interviews, and supply chain projects, this paper examines the global transition from ICE vehicles to EVs. Empirically, we show how China, as the world's largest producer, market, and—since 2024—exporter of automobiles, is driving this transition. This transition is unfolding unevenly across space. We map how the diffusion of the Cleantech Triad, led by Chinese firms like BYD and CATL, is actively redrawing the global map of automobile manufacturing, instigating a new industrial spatial fix. This includes the pivotal shift to Lithium Iron Phosphate (LFP) battery chemistry and the movement from exports to direct foreign investment by Chinese manufacturers. Simultaneously, this spatial shift is reconfiguring the global automotive order at its core—away from oil and toward electricity—directly challenging established petroleum usage patterns and industry incumbents, and fueling new geopolitical tensions and trade resistance.

Keywords: Geopolitics of Energy Transformation; China; Electric Vehicles (EVs); Cleantech Triad; Techno-Economic Paradigm",44,EV Transition and Automotive Industry
47,A pathway toward low carbon economy: Exploring the influence of smart urbanization on green sustainability,Muhammad Tayyab Sohail (Xiangtan University China),"Abstract: To protect the environment from any further damage, the implementation of ‘smart cities’ strategy supported by ICTs is the need of the hour. Hence, this study estimates the impact of ICT and urbanization on environmental sustainability in China using the novel QARDL method. The results of the QARDL model state the negative and significant impact of ICT on CO2 emissions in China at all quantiles, implying that an increase in ICT proved to be an important factor in improving environmental quality. In contrast, the estimated coefficients of urbanization are positively significant at all quantiles. This finding sustains the idea that large-scale urbanization is detrimental to the environment because the process of urbanization is among the leading sources of carbon emissions. In the short run, the negative impact of ICT on CO2 emissions can only be seen at higher quantiles, while the positive impact of urbanization on CO2 emissions is confirmed at all quantiles. Lastly, the asymmetric impact of ICT and urbanization is confirmed in the short and long run with the help of Wald tests. The ICT diffusion and smart urbanization approach can help in attaining environmental sustainability targets.
Keywords: ICT; Smart urbanization; Environmental sustainability; Digital economy.
",45,Energy Infrastructure and Communities
142,Energy Justice and the Infrastructure of Demand: Community Preferences for Equitable Solar Farm and AI Data Center Development,"Brissa Acevedo (CMU-Portugal, CMU, FEUP, Inesc-Tec); Baruch Fischhoff (CMU-Portugal, CMU); Lia Patrício (CMU-Portugal, FEUP, Inesc-Tec)","The rapid expansion of utility-scale solar farms and AI-driven data centers presents a critical challenge: how to ensure that communities hosting this infrastructure become partners in development rather than sources of opposition. While prior policy initiatives—including the 2022 Bipartisan Infrastructure Law and DOE Loan Programs Office requirements—mandated Community Benefits Plans, these frameworks have been developed primarily through philosophical reasoning rather than direct community input.

This research program addresses this gap by quantifying community preferences for different justice dimensions in renewable energy and digital infrastructure development. Using mixed-methods approaches combining paired comparisons, rankings, and qualitative responses, the research examines how communities evaluate benefit plans incorporating distributional justice (economic benefits), procedural justice (decision-making participation), recognition justice (cultural acknowledgment), and restorative justice (environmental remediation).

The program comprises three studies: a completed national survey of 300 participants across diverse demographic groups evaluating solar farm development plans; ongoing data collection in Portugal examining cross-cultural variation in community preferences; and a planned extension to AI-driven data center development, addressing the urgent need for community benefit frameworks in this rapidly expanding sector.

By providing empirical evidence of what communities value across different contexts and infrastructure types, this research offers developers and policymakers actionable guidance for designing benefit mechanisms that transform communities from opponents into partners.",45,Energy Infrastructure and Communities
201,From sustainability pursuit to place-based outcomes: Urgency and infrastructure in U.S. data center expansion,Angela Ryu (University of Southern California); Shon Hiatt (University of Southern California),"This paper examines how place-based infrastructure shapes the translation of corporate sustainability efforts into environmental outcomes under conditions of urgency. Sustainability research often emphasizes the role of sustained effort in improving outcomes, while research on organizations and place highlights how localized infrastructure shapes economic activity. We integrate these perspectives to theorize how urgency makes place-based infrastructure a binding constraint on environmental outcomes despite sustained sustainability pursuits. Using an abductive, pattern-then-probe approach, we develop a mechanism in which environmental outcomes are produced through operational execution tightly coupled to local infrastructure. When urgency accelerates execution beyond the pace of infrastructure adjustment, firms execute through existing systems, whose place-specific characteristics shape environmental outcomes. Empirically, we study the U.S. data center industry and leverage the public release of ChatGPT as a shock that increased urgency for firms developing and deploying proprietary AI models (“hyperscalers”). We compare these firms to colocation providers that lease computing capacity without proprietary models and face more modular demand. We show that urgency does not alter internal facility configuration (e.g., scale or density), isolating facility siting as the primary mechanism. Data centers most exposed to urgency (i.e., large-scale facilities operated by model-developing firms) are disproportionately sited in grid systems with greater power availability and higher fossil fuel dependence, even as firms continue large-scale renewable energy procurement. By separating sustainability intent, pursuit, execution, and outcomes, our findings contribute to the understanding of how urgency reshapes the relationship between sustainability efforts and place-based environmental exposure in infrastructure-dependent innovation.",45,Energy Infrastructure and Communities
